ano,mes,data,regiao,uf,cidade,canal_venda,categoria,produto,quantidade,preco_unitario,faturamento,custo,lucro,prazo_entrega,avaliacao_cliente
2015,1,2015-01-01,Norte,AM,Manaus,Marketplace,Beleza,Produto C,29,735.48,21328.8,16038.8,9582.31,10.4,4.53
2015,1,2015-01-01,Norte,PA,Belém,Aplicativo,Esporte,Produto C,22,2185.87,48089.17,32194.92,19360.24,7.8,4.94
2015,1,2015-01-01,Norte,PA,Santarém,Marketplace,Moda,Produto B,19,1069.53,20321.05,12874.67,6702.32,10.8,3.89
2015,1,2015-01-01,Norte,RO,Porto Velho,Marketplace,Livros,Produto B,2,784.33,1568.67,1094.64,630.54,7.8,4.95
2015,1,2015-01-01,Norte,TO,Palmas,Site próprio,Casa,Produto D,19,1618.8,30757.14,18142.05,13160.73,3.9,3.74
2015,1,2015-01-01,Nordeste,BA,Salvador,Aplicativo,Casa,Produto B,14,1873.44,26228.22,19880.22,9151.66,3.8,4.89
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,Aplicativo,Livros,Produto A,25,699.3,17482.44,14038.69,3219.4,6.0,4.25
2015,1,2015-01-01,Nordeste,PE,Recife,Site próprio,Moda,Produto C,3,1814.82,5444.45,4436.66,1013.64,6.7,3.14
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,Aplicativo,Moda,Produto C,22,872.78,19201.06,11184.56,5583.02,2.8,3.67
2015,1,2015-01-01,Nordeste,CE,Fortaleza,Site próprio,Casa,Produto D,13,2416.65,31416.48,22779.16,10591.63,13.3,4.15
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,Marketplace,Eletrônicos,Produto C,28,1618.01,45304.31,28684.15,12276.19,11.1,3.85
2015,1,2015-01-01,Nordeste,MA,São Luís,Site próprio,Livros,Produto C,4,1746.69,6986.76,5206.42,3120.67,13.7,3.94
2015,1,2015-01-01,Nordeste,PB,João Pessoa,Aplicativo,Beleza,Produto D,15,709.85,10647.79,7904.73,3889.36,5.0,3.76
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,Site próprio,Beleza,Produto B,27,394.51,10651.75,8102.99,1936.4,6.4,2.84
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,Aplicativo,Moda,Produto A,20,1747.8,34955.93,28250.92,6521.02,2.9,3.44
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,Aplicativo,Casa,Produto A,7,2095.79,14670.53,11754.55,5339.76,4.1,3.76
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,Marketplace,Moda,Produto B,17,810.32,13775.37,8477.24,3152.65,7.2,3.66
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,Marketplace,Casa,Produto B,18,580.69,10452.51,5981.76,3260.2,13.4,2.94
2015,1,2015-01-01,Sudeste,SP,São Paulo,Aplicativo,Beleza,Produto C,11,225.05,2475.59,1555.3,851.17,9.8,4.11
2015,1,2015-01-01,Sudeste,SP,Campinas,Site próprio,Esporte,Produto A,7,1532.16,10725.1,6300.38,4125.96,11.2,2.92
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,Marketplace,Moda,Produto D,27,2393.22,64616.98,48081.89,29014.59,11.0,2.77
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,Marketplace,Moda,Produto D,13,1445.33,18789.35,10589.61,4411.13,7.9,3.77
2015,1,2015-01-01,Sudeste,RJ,Niterói,Marketplace,Casa,Produto C,2,1790.01,3580.02,2862.01,944.2,7.3,2.85
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,Marketplace,Moda,Produto B,7,743.42,5203.93,3194.31,1574.28,6.3,3.58
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,Site próprio,Esporte,Produto C,3,1385.6,4156.81,2312.26,804.79,5.9,2.68
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,Site próprio,Livros,Produto D,19,1151.69,21882.05,15380.46,9192.6,4.6,3.65
2015,1,2015-01-01,Sudeste,MG,Uberlândia,Site próprio,Esporte,Produto B,27,1876.33,50660.78,33207.03,11746.85,3.0,3.34
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,Site próprio,Esporte,Produto A,8,541.51,4332.05,3430.26,1375.98,2.0,2.72
2015,1,2015-01-01,Sudeste,ES,Vitória,Marketplace,Moda,Produto D,10,2433.71,24337.14,16459.66,8388.4,10.1,3.61
2015,1,2015-01-01,Sudeste,ES,Vila Velha,Site próprio,Esporte,Produto B,16,1523.54,24376.68,14372.33,8265.34,5.1,3.87
2015,1,2015-01-01,Sudeste,ES,Serra,Marketplace,Eletrônicos,Produto D,25,1207.78,30194.42,23199.47,7226.49,11.3,4.79
2015,1,2015-01-01,Sul,PR,Curitiba,Marketplace,Casa,Produto A,7,2383.0,16681.02,11640.38,6719.94,3.6,2.69
2015,1,2015-01-01,Sul,PR,Londrina,Aplicativo,Moda,Produto D,11,1868.42,20552.58,12123.72,7609.22,5.9,2.94
2015,1,2015-01-01,Sul,SC,Florianópolis,Aplicativo,Livros,Produto C,1,2168.7,2168.7,1743.86,596.94,8.2,3.1
2015,1,2015-01-01,Sul,SC,Joinville,Aplicativo,Livros,Produto B,2,2336.76,4673.53,3764.17,1968.44,9.4,2.53
2015,1,2015-01-01,Sul,RS,Porto Alegre,Site próprio,Livros,Produto D,9,609.97,5489.76,4166.62,2100.07,12.1,4.69
2015,1,2015-01-01,Sul,RS,Caxias do Sul,Site próprio,Livros,Produto A,28,325.57,9115.99,7028.86,2804.28,6.4,3.06
2015,2,2015-02-01,Norte,AM,Manaus,Marketplace,Esporte,Produto B,10,1755.68,17556.81,13322.45,4953.54,5.6,4.4
2015,2,2015-02-01,Norte,PA,Belém,Aplicativo,Esporte,Produto A,24,1368.55,32845.3,23332.08,11037.04,14.4,4.01
2015,2,2015-02-01,Norte,PA,Santarém,Marketplace,Moda,Produto B,25,1739.07,43476.67,26626.71,10028.86,9.5,3.34
2015,2,2015-02-01,Norte,RO,Porto Velho,Site próprio,Livros,Produto D,3,1906.16,5718.47,4291.69,1466.86,11.6,2.98
2015,2,2015-02-01,Norte,TO,Palmas,Aplicativo,Eletrônicos,Produto D,5,461.14,2305.68,1448.59,611.66,15.0,4.81
2015,2,2015-02-01,Nordeste,BA,Salvador,Marketplace,Casa,Produto C,6,309.12,1854.73,1353.56,408.94,2.8,3.91
